SNM X,SNM Y
1.099999884495273,0
1.099999867287681,0.022
1.099999832698294,0.044
1.099999763784748,0.066
1.099999627208004,0.08800000000000001
1.099999356992856,0.11
1.099998822725393,0.132
1.099997767181074,0.154
1.099995687669294,0.176
1.099991608038382,0.198
1.099983649429412,0.22
1.099968247024301,0.242
1.099938759201536,0.264
1.09988308530859,0.286
1.09977972430988,0.308
1.099591392464422,0.33
1.099254593945634,0.352
1.09866170383387,0.3740000000000001
1.097627693045232,0.3960000000000001
1.095823085557077,0.4180000000000001
1.092626824048484,0.4400000000000001
1.086760259810412,0.4620000000000001
1.075054112558167,0.4840000000000002
1.046060232794796,0.5060000000000001
0.882371024168537,0.5280000000000001
0.4607163489172114,0.5500000000000002
0.133801325111047,0.5720000000000002
0.0371725314981154,0.5940000000000002
0.01799945108566949,0.6160000000000002
0.009582522860593487,0.6380000000000002
0.005289249976581693,0.6600000000000003
0.002967963665592794,0.6820000000000003
0.00167931023417742,0.7040000000000003
0.0009491046110145346,0.7260000000000003
0.0005322465919507109,0.7480000000000003
0.0002944025089379461,0.7700000000000004
0.0001598568747868199,0.7920000000000004
8.495235001612005e-05,0.8140000000000004
4.414580571469302e-05,0.8360000000000004
2.246076057430627e-05,0.8580000000000004
1.122451648920278e-05,0.8800000000000004
5.536924756737814e-06,0.9020000000000005
2.715141121805868e-06,0.9240000000000005
1.337616081067037e-06,0.9460000000000005
6.733798585545927e-07,0.9680000000000005
3.559273018816215e-07,0.9900000000000005
2.051269959565558e-07,1.012
1.337753429697811e-07,1.034
1.001543686533334e-07,1.056
8.439666409108137e-08,1.078000000000001
7.707950830780099e-08,1.1
8.43966642139633e-08,1.078000000000001
1.00154368973246e-07,1.056
1.337753444483047e-07,1.034
2.051270025475299e-07,1.012
3.55927331453885e-07,0.9900000000000005
6.733799893743739e-07,0.9680000000000005
1.337616643154462e-06,0.9460000000000005
2.715143449006994e-06,0.9240000000000005
5.536933954751538e-06,0.9020000000000005
1.122455092393343e-05,0.8800000000000004
2.246088226408544e-05,0.8580000000000004
4.414621334749772e-05,0.8360000000000004
8.495366202630145e-05,0.8140000000000004
0.0001598610203334775,0.7920000000000004
0.0002944156826358925,0.7700000000000004
0.0005322895996576591,0.7480000000000003
0.000949251264906302,0.7260000000000003
0.001679840763567752,0.7040000000000003
0.002970063902701412,0.6820000000000003
0.00528737036100576,0.6600000000000003
0.009574469098097713,0.6380000000000002
0.01800375415679498,0.6160000000000002
0.03717078680729654,0.5940000000000002
0.1337997921194811,0.5720000000000002
0.4607154443161778,0.5500000000000002
0.8823698563847915,0.5280000000000001
1.046050300807527,0.5060000000000001
1.075094858949105,0.4840000000000002
1.08674596098464,0.4620000000000001
1.09262357929929,0.4400000000000001
1.095826616141097,0.4180000000000001
1.097628577794109,0.3960000000000001
1.098661954487988,0.3740000000000001
1.099254670064806,0.352
1.099591416337139,0.33
1.099779731790744,0.308
1.099883087594117,0.286
1.099938759873337,0.264
1.099968247213686,0.242
1.099983649480797,0.22
1.099991608051892,0.198
1.099995687672762,0.176
1.099997767181949,0.154
1.099998822725611,0.132
1.09999935699291,0.11
1.099999627208017,0.08800000000000001
1.099999763784751,0.066
1.099999832698295,0.044
1.099999867287681,0.022
1.099999884495273,0
